t,L,EE,dEE
0.3,12,0.006690591975719316,0.0019337055959740988
0.6,12,0.02974638809188514,0.006050205787684911
0.9,12,0.08081510319466353,0.0047301135321558396
1.2,12,0.12629775795990783,0.004749517662858539
1.5,12,0.17748527266380026,0.008469579918400848
1.8,12,0.24838349832704537,0.0072273261803807165
2.1,12,0.2939543782576109,0.011067489793932583
2.4,12,0.33028627129950566,0.011697994235967096
2.7,12,0.3873455444397443,0.008352143069008807
3.0,12,0.4257348033448849,0.008510018025449715
3.3,12,0.45598003431055345,0.009191168085426745
3.6,12,0.4789289277729438,0.009353771992778648
3.9,12,0.4978527115250562,0.016911921699503688
0.3,15,0.006887745024344724,0.0033744690621948814
0.6,15,0.03395333066797162,0.005286202349930274
0.9,15,0.07296301911646971,0.00749208117687351
1.2,15,0.11627339094960411,0.014290863388786984
1.5,15,0.18694489516613652,0.013148245184684762
1.8,15,0.24052471054268243,0.010872853990542095
2.1,15,0.2888462045393807,0.008219227431107697
2.4,15,0.3317099985030487,0.012087102117309685
2.7,15,0.3801887458833433,0.01644188707625713
3.0,15,0.43088884202111866,0.016797716734743496
3.3,15,0.45362407398517435,0.016984590878053183
3.6,15,0.47921757195760517,0.030417480207187663
3.9,15,0.5019814632593764,0.013848614989107477
0.3,18,0.002848789861332263,0.003047022106970981
0.6,18,0.048053967028866815,0.020836886457518647
0.9,18,0.04857413673133482,0.026627078227639805
1.2,18,0.11796549332282613,0.03095612537572061
1.5,18,0.17821365182335244,0.023324260560224075
1.8,18,0.26510730580528014,0.025101820963541424
2.1,18,0.29646965724029345,0.027088350554454892
2.4,18,0.3318665967736984,0.03691538822688692
2.7,18,0.3642426963922837,0.04401193844470435
3.0,18,0.455064675561109,0.031027443382495506
3.3,18,0.4608268401129231,0.03783736934010996
3.6,18,0.4889997055339203,0.02506968137167558
3.9,18,0.4949800341641658,0.026193631863024123
0.3,3,0.004483975951559934,0.0007070506337750085
0.6,3,0.020571787920791555,0.001381012249551774
0.9,3,0.03549722523347559,0.0014724940509090732
1.2,3,0.04305101400125687,0.0015407850178388986
1.5,3,0.04695253639374031,0.0024011494824249828
1.8,3,0.04178761225532685,0.0021955169966401686
2.1,3,0.04497520995194516,0.0048296562739032125
2.4,3,0.04849152651890194,0.0022657953325608913
2.7,3,0.044119846038816225,0.0023251893464978084
3.0,3,0.04676813013576185,0.0023044221218968372
3.3,3,0.04644436309742099,0.0023061066355023418
3.6,3,0.045162504856627345,0.0023153330301810215
3.9,3,0.04325911214080625,0.0023222442749372832
0.3,6,0.004645788195948605,0.001354094756541735
0.6,6,0.03373973258691763,0.0020433556500338425
0.9,6,0.07957837337787257,0.004633881758295532
1.2,6,0.1177606788991256,0.0039545305593942735
1.5,6,0.18362763611121444,0.01400000661983936
1.8,6,0.23220645735027073,0.004637890759927221
2.1,6,0.2567370460744279,0.00697511628524512
2.4,6,0.29033763969710985,0.0039321921211526055
2.7,6,0.3071328076569734,0.022415130054216612
3.0,6,0.3258095726389205,0.00794412454282696
3.3,6,0.35660600837316414,0.011403714447967254
3.6,6,0.35858622280181873,0.011723508060242896
3.9,6,0.3573715429285844,0.011729764092254204
0.3,9,0.011367028325449575,0.0026164050817679045
0.6,9,0.029613968465641398,0.006442180549333716
0.9,9,0.07451999453463971,0.004235356772608235
1.2,9,0.12066300278207641,0.011040147501106249
1.5,9,0.18338682571932777,0.012504729752233932
1.8,9,0.2452258666164214,0.006601299793390225
2.1,9,0.29513131800772746,0.007100453736046714
2.4,9,0.3346599577556309,0.010407319569678245
2.7,9,0.38455789212892016,0.011640002923086954
3.0,9,0.42803482631482653,0.011120026234796711
3.3,9,0.45960887876441425,0.008032024085974514
3.6,9,0.48423920121829267,0.00999423098254949
3.9,9,0.5057122935934967,0.007533492311760255
