t,L,EE,dEE
0.3,12,0.0053848753690719535,0.0025925941262059126
0.6,12,0.009182301208631519,0.0055663936676895115
0.9,12,0.011800863200345001,0.008479280524984933
1.2,12,0.017584753427610466,0.010087985688610896
1.5,12,0.03619374794206292,0.008752649182620769
1.8,12,0.04435950077725432,0.009831400676683397
2.1,12,0.05575983117730059,0.009786809856346109
2.4,12,0.06363005101739162,0.009535953896846888
2.7,12,0.0747676972926222,0.010627500040962523
3.0,12,0.08385887554348735,0.010887729523015387
3.3,12,0.08987676330733585,0.010939819402263577
3.6,12,0.09587275049859369,0.011596460305079787
0.3,3,0.005109935933319946,0.001539729754463278
0.6,3,0.008771158515885424,0.0035682423741120986
0.9,3,0.012038360575493165,0.005381980669533073
1.2,3,0.01508837011252382,0.005984410306349311
1.5,3,0.01591644529966992,0.0068616359869040095
1.8,3,0.013433712651843755,0.008258224860317827
2.1,3,0.014208084246936651,0.008247512750389464
2.4,3,0.017730401677908684,0.009052431485887847
2.7,3,0.01636645595014848,0.008805805318942513
3.0,3,0.021388626232834773,0.009708999842653302
3.3,3,0.016734991410731717,0.010201377498066223
3.6,3,0.021423442656455315,0.010741140922674428
0.3,6,0.004657104785967986,0.002102521463338156
0.6,6,0.010086116576656092,0.004828437127670915
0.9,6,0.015899412093441576,0.0066949283898154795
1.2,6,0.020748546463918074,0.007861102152416963
1.5,6,0.03809449274713839,0.008588217916504591
1.8,6,0.0428091253240314,0.009406053978241197
2.1,6,0.05297243937243925,0.009754758921563519
2.4,6,0.06560217296638712,0.010680953730568788
2.7,6,0.07520383309165664,0.011000936003414659
3.0,6,0.08129742001970187,0.011398047099537264
3.3,6,0.08661693375811125,0.011753348032598782
3.6,6,0.09267106090684674,0.011760205756682528
0.3,9,0.007820694136684984,0.0027974293628430023
0.6,9,0.010960694880881207,0.006520697098222492
0.9,9,0.01267385545208815,0.009097197744524832
1.2,9,0.022797883838417497,0.0054328374038669705
1.5,9,0.035022187969087626,0.00423240530527174
1.8,9,0.04738767426128919,0.004175019331558339
2.1,9,0.05765229927371243,0.004445608378210196
2.4,9,0.06313883927144232,0.004996313643403743
2.7,9,0.07405174000139507,0.006349937624848708
3.0,9,0.08413896276264725,0.0067963013329597035
3.3,9,0.09044444837519573,0.00728852266603711
3.6,9,0.09726139543439007,0.005976703684770822
